Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"03/01/2018","23 Willow Close, Dunshaughlin","Meath","","€303,964.75","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2018","13 THE LIMES, BEAUFORT PLACE, NAVAN","Meath","","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","16 PARK AVE, GRANGERATH, DROGHEDA","Meath","","€335,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2018","4 CONNOLLY AVE, NAVAN, TRIM RD","Meath","","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2018","5 Cois Glaisin Crescent, Johnstown, Navan","Meath","","€229,255.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"05/01/2018","77 MORNINGTON TOWERS, MORNINGTON, MEATH","Meath","","€235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2018","139 RATHLODGE, ASHBOURNE, MEATH","Meath","","€292,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2018","25 Willow Close, Dunshaughlin","Meath","","€303,965.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 125 sq metres"
"09/01/2018","206 AN COIM CHOILLE, BETTYSTOWN TN CTR, BETTYSTOWN","Meath","","€157,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2018","211 CHURCH FIELDS, ASHBOURNE, MEATH","Meath","","€326,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2018","24 Churchfields Park, Ashbourne","Meath","","€278,837.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/01/2018","60 DELMARE, ENFIELD, MEATH","Meath","","€257,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2018","8 dun eimear, eastham road, bettystown","Meath","","€245,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 125 sq metres"
"09/01/2018","OBERSTOWN, TARA, MEATH","Meath","","€246,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2018","29 The Meadows, Whitefield Manor, Bettystown","Meath","","€225,022.03","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/01/2018","6 ST SEACHNAILS, DUNSHAUGHLIN, MEATH","Meath","","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2018","82 ARDLEA, DUNSHAUGHLIN, MEATH","Meath","","€295,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2018","85 STEEPLECHASE GREEN, RATOATH, MEATH","Meath","","€272,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2018","NEWHAGGARD, TRIM, CO MEATH","Meath","","€267,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2018","TUBRIDE, OLDCASTLE, MEATH","Meath","","€55,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"11/01/2018","17 WAFRE LODGE, DUBLIN ROAD, ASHBOURNE","Meath","","€387,665.19","No","Yes","New Dwelling house /Apartment","greater than or equal to 125 sq metres"
"11/01/2018","20 THE GREEN, WOODSIDE, BETTYSTOWN","Meath","","€187,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2018","24 FORGEHILL GREEN, STAMULLEN, MEATH","Meath","","€40,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"11/01/2018","4 MULLACH ALAINN, OMEATH, CO LOUTH","Meath","","€108,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2018","18 ABBEYBROOK VIEW, KILBEGGAN, MULLINGAR","Meath","","€145,374.45","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"12/01/2018","23 HILLVIEW EST, DUNSHAUGHLIN, MEATH","Meath","","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2018","27 Ardmore Rise, Bettystown, County Meath","Meath","","€75,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"12/01/2018","29 CLUAIN BEAG, NOBBER, MEATH","Meath","","€125,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2018","29 RAILWAY ST, NAVAN, CO MEATH","Meath","","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2018","29 The Gallops, Kinnegad Road, Trim","Meath","","€237,885.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"12/01/2018","3 Wafre Lodge, Dublin Road, Ashbourne","Meath","","€387,666.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"12/01/2018","82 SEABURY LAWNS, MORNINGTON, CO. MEATH","Meath","","€62,500.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"12/01/2018","EDEN LODGE, COUGHALSTOWN, WILKINSTOWN","Meath","","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"15/01/2018","112 Churchfields, Churchfields, Ashbourne","Meath","","€335,180.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"15/01/2018","16 Dun Eimear, Eastham Road, Bettystown","Meath","","€240,528.63","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"15/01/2018","20  Willow Close, Dunshaughlin","Meath","","€303,964.75","No","Yes","New Dwelling house /Apartment","greater than or equal to 125 sq metres"
"15/01/2018","7Dun Eimear, Eastham Road, Bettystown","Meath","","€215,859.03","No","Yes","New Dwelling house /Apartment","greater than or equal to 125 sq metres"
"15/01/2018","APT 11, MILL LANE, DISTILLERY QUAY","Meath","","€110,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"15/01/2018","POSSEXTOWN, ENFIELD, MEATH","Meath","","€365,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/01/2018","31 THE GALLOPS, KINNEGAD ROAD, TRIM","Meath","","€237,885.46","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"16/01/2018","INAN, HILL OF DOWN, CO. MEATH","Meath","","€133,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/01/2018","STATION HOUSE, OGROWNEY ST, ATHBOY","Meath","","€113,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"17/01/2018","15 Maydenhayes Lodge, MORNINGTON, CO MEATH","Meath","","€262,994.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"17/01/2018","15 SUMMERSEAT GREEN, CLONEE, COUNTY MEATH","Meath","","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"17/01/2018","1The Gardens, Station Road, Duleek","Meath","","€243,171.80","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"17/01/2018","20 BRABAZON BAY, GOLF LINKS RD, BETTYSTOWN","Meath","","€260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"17/01/2018","28 Millbourne Drive, Ashbourne, County Meath","Meath","","€258,149.78","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"17/01/2018","30 MILLBOURNE DRIVE, ASHBOURNE","Meath","","€249,339.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 125 sq metres"
"17/01/2018","38 PARKGRANGE, GRANGERATH, COLPE","Meath","","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"17/01/2018","4 ST BENAN'S VILLAS, LAYTOWN, CO MEATH","Meath","","€120,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"17/01/2018","66 BOYNE VIEW, JOHNSTOWN, NAVAN","Meath","","€268,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"17/01/2018","APT C47 BAILIS VILLAGE, JOHNSTOWN, NAVAN","Meath","","€130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"17/01/2018","INBHER COLPA, TOWER CROSS, MORNINGTON","Meath","","€550,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"17/01/2018","RIVERSIDE HOUSE, DUBLIN ROAD, NAVAN","Meath","","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2018","26 ATHLUMNEY HALL, ATHLUMNEY, NAVAN","Meath","","€347,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2018","42 PINEBROOK, TRIM, MEATH","Meath","","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2018","53 BRU NA HABHAINN, BLACKCASTLE DEMESNE, MEATH","Meath","","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2018","APT 14 BLOCK A BAILIS VILLAGE, JOHNSTOWN, NAVAN","Meath","","€130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2018","APT 9, STERLING SQUARE, CLONEE","Meath","","€185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2018","APT B, CASTLE WAY, ASHBOURNE","Meath","","€130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2018","GREENOGUE, KILSALLAGHAN, MEATH","Meath","","€255,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2018","HOUSE 1, THE GRANGE, BECTIVE","Meath","","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2018","HUNTERS YARD, LESHEMSTOWN LANE, DRUMREE","Meath","","€500,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/01/2018","22 BOYNE VIEW, JOHNSTOWN, NAVAN","Meath","","€227,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/01/2018","30 OAK VALE, BAILIS DOWNS, NAVAN","Meath","","€233,600.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/01/2018","31 THE WALK, INSE BAY, LAYTOWN","Meath","","€212,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/01/2018","59 THE STEEPLES, NAVAN, MEATH","Meath","","€75,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/01/2018","7 ABBEY ROW KILDALKEY, KILDALKEY, MEATH","Meath","","€124,950.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/01/2018","7 AVONDALE DR, TRIM, MEATH","Meath","","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
