Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"03/01/2020","39 WOODVIEW, ASHFORD, WICKLOW","Wicklow","","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2020","19 Bollarney Woods, Bollarney North, Wicklow","Wicklow","","€313,403.45","Yes","Yes","New Dwelling house /Apartment",""
"06/01/2020","20 Bollarney Woods, Bollarney North, Wicklow","Wicklow","","€313,403.45","Yes","Yes","New Dwelling house /Apartment",""
"06/01/2020","21 Bollarney Woods, Bollarney North, Wicklow","Wicklow","","€313,403.45","Yes","Yes","New Dwelling house /Apartment",""
"06/01/2020","22 Bollarney Woods, Bollarney North, Wicklow","Wicklow","","€313,403.45","Yes","Yes","New Dwelling house /Apartment",""
"06/01/2020","25 The Willows, Ballinahinch Wood, Ashford","Wicklow","","€339,207.05","No","Yes","New Dwelling house /Apartment",""
"06/01/2020","BRIDGE HOUSE, AUGHRIM, WICKLOW","Wicklow","","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2020","1 Seagreen Park, Blacklion, Greystones","Wicklow","","€541,850.22","No","Yes","New Dwelling house /Apartment",""
"08/01/2020","21 DELGANY PARK, DELGANY, CO WICKLOW","Wicklow","","€331,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2020","26 Bollarney Woods, Bollarney North, Wicklow","Wicklow","","€194,422.00","Yes","Yes","New Dwelling house /Apartment",""
"08/01/2020","27 Bollarney Woods, Bollarney North, Wicklow","Wicklow","","€194,422.00","Yes","Yes","New Dwelling house /Apartment",""
"08/01/2020","28 Bollarney Woods, Bollarney North, Wicklow","Wicklow","","€194,422.00","Yes","Yes","New Dwelling house /Apartment",""
"08/01/2020","28 CARRIG COURT, RATHNEW, CO WICKLOW","Wicklow","","€237,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2020","3 Seagreen Gate, Chapel Road, Blacklion","Wicklow","","€387,665.00","No","Yes","New Dwelling house /Apartment",""
"08/01/2020","31 THE GREEN  MEADOWVALE, ARKLOW, WICKLOW","Wicklow","","€165,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"08/01/2020","44 ARAVON COURT, BRAY, WICKLOW","Wicklow","","€311,250.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2020","No. 41 Viewmount, Greenane Road, Rathdrum","Wicklow","","€227,312.77","No","Yes","New Dwelling house /Apartment",""
"08/01/2020","VEGA, 1 MOUNT ALTO, ASHFORD","Wicklow","","€571,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2020","160 GLEBEMOUNT, WICKLOW, WICKLOW","Wicklow","","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2020","112 BEECHDALE, KILCOOLE, WICKLOW","Wicklow","","€290,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2020","162 CHARLESLAND COURT, GREYSTONES, WICKLOW","Wicklow","","€290,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2020","2 SOUTH POINT, PARNELL RD, BRAY","Wicklow","","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2020","35 The Strand, Marina Village, Greystones","Wicklow","","€405,286.34","No","Yes","New Dwelling house /Apartment",""
"10/01/2020","66 WILTON MANOR, RATHNEW, WICKLOW","Wicklow","","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2020","7 MAIN ST, SHILLELAGH, CO WICKLOW","Wicklow","","€95,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2020","83 RIPLEY HILLS, BRAY, WICKLOW","Wicklow","","€338,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2020","CHERRYHILL, ROCKY VALLEY, KILMACANOGUE","Wicklow","","€644,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"10/01/2020","LACKAREAGH, GRANGECON, COUNTY WICKLOW","Wicklow","","€30,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2020","PINE LODGE, NEW RD, GREYSTONES","Wicklow","","€1,660,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/01/2020","23 Bollarney Woods, Bollarney North, Wicklow","Wicklow","","€325,619.00","Yes","Yes","New Dwelling house /Apartment",""
"13/01/2020","24 Bollarney Woods, Bollarney North, Wicklow","Wicklow","","€325,619.00","Yes","Yes","New Dwelling house /Apartment",""
"13/01/2020","3 SAUNDERS LANE, RATHNEW, CO WICKLOW","Wicklow","","€185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/01/2020","5 Seagreen Gate, Blacklion, Greystones","Wicklow","","€440,529.00","No","Yes","New Dwelling house /Apartment",""
"13/01/2020","80 REDFORD PARK, GREYSTONES, WICKLOW","Wicklow","","€330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"14/01/2020","36 Viewmount, Greenane Road, Rathdrum","Wicklow","","€245,814.00","No","Yes","New Dwelling house /Apartment",""
"14/01/2020","6 MAIN ST, ENNISKERRY, WICKLOW","Wicklow","","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"14/01/2020","9 MILLBROOK, GREYSTONES, WICKLOW","Wicklow","","€440,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"14/01/2020","ANNAGOLAN HOUSE, ANNAGOLAN, ASHFORD","Wicklow","","€420,000.00","No","No","Second-Hand Dwelling house /Apartment",""
