Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"02/01/2018","11 Castlelynn, Soldiers Road, Bray","Wicklow","","€545,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 125 sq metres"
"02/01/2018","50 TUSKAR COURTYARD, ARKLOW MARINA VILLAGE, WICKLOW","Wicklow","","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2018","ST PAULS LODGE, HERBERT RD, BRAY","Wicklow","","€880,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2018","CAIE LE MAR, ROCKY VALLEY DR, KILMACANOGUE","Wicklow","","€965,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2018","170 CHARLESLAND PARK, GREYSTONES, WICKLOW","Wicklow","","€380,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2018","34 SEASON PARK, NEWTOWNMOUNTKENNEDY, WICKLOW","Wicklow","","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2018","69A RICHMOND PARK, HERBERT RD, BRAY","Wicklow","","€316,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2018","THE COTTAGE, DRUMEEN, LARAGH","Wicklow","","€145,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2018","10 CATHERINE'S COURT, FRIARSHILL, WICKLOW","Wicklow","","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2018","37 Kirvin Hill, Rathnew","Wicklow","","€242,290.74","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/01/2018","ADANAC, BALLINACARRIG, BRITTAS BAY","Wicklow","","€251,770.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2018","63 The Meadows, Marlton Road, Wicklow Town","Wicklow","","€299,559.46","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/01/2018","66 RATHDOWN PARK, GREYSTONES, WICKLOW","Wicklow","","€545,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2018","87 ASWOOD, ROUNDWOOD, WICKLOW","Wicklow","","€228,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2018","10 KILNINGCARRIG MANOR, BURNABY, GREYSTONES","Wicklow","","€960,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2018","21 CHURCH VIEW, EDEN GATE, PRIORY RD","Wicklow","","€745,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2018","3 CATHERINE'S COURT, FRIARSHILL, WICKLOW","Wicklow","","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2018","326 REDFORD PARK, GREYSTONES, WICKLOW","Wicklow","","€400,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2018","35 Thorndale, Delgany, County Wicklow","Wicklow","","€236,500.00","Yes","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"11/01/2018","36 Thorndale, Delgany, County Wicklow","Wicklow","","€236,500.00","Yes","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"11/01/2018","39 Thorndale, Delgany, County Wicklow","Wicklow","","€236,500.00","Yes","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"11/01/2018","4 Waverly Close, Blacklion, Greystones","Wicklow","","€367,841.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 125 sq metres"
"11/01/2018","40 Thorndale, Delgany, County Wicklow","Wicklow","","€236,500.00","Yes","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"11/01/2018","6 KING EDWARD RD, BRAY, WICKLOW","Wicklow","","€620,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2018","7 PRIORY COURT EDEN GATE, DELGANY, WICKLOW","Wicklow","","€262,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2018","8 Waverly Close, Blacklion, Greystones","Wicklow","","€365,639.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"11/01/2018","94 BARLEYFIELD, WICKLOW HILLS, NETOWNMOUNTKENNEDY","Wicklow","","€237,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"11/01/2018","MONASTERY, ENNISKERRY, WICKLOW","Wicklow","","€825,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2018","THE GABLES, COOLAWINNA, ASHFORD","Wicklow","","€695,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2018","4 Monalin, Wicklow Hills, Newtownmountkennedy","Wicklow","","€242,290.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"12/01/2018","APT 1, TONER HOUSE, SIDMONTON PLACE","Wicklow","","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2018","JACARANDA COTTAGE, SROUGHAN, BLESSINGTON","Wicklow","","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"15/01/2018","18  Waverly Avenue, Waverly, Blacklion","Wicklow","","€397,900.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"15/01/2018","28 ROCKYPOOL CRESCENT, BLESSINGTON, WICKLOW","Wicklow","","€193,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"15/01/2018","5 SEAVIEW AVE, ARKLOW, WICKLOW","Wicklow","","€200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/01/2018","18 MILLBROOK COURT, REDCROSS, WICKLOW","Wicklow","","€335,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/01/2018","59 GLENVIEW PARK, KILPEDDAR, WICKLOW","Wicklow","","€243,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/01/2018","ROSEDELL, FLORENCE RD, BRAY","Wicklow","","€640,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"17/01/2018","15 WOODLANDS RISE, ARKLOW, CO WICKLOW","Wicklow","","€202,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"17/01/2018","3 LA TOUCHE PARK, GREYSTONES, WICKLOW","Wicklow","","€690,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"17/01/2018","3 VILLAGE GATE, TINAHELY, WICKLOW","Wicklow","","€135,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2018","8 WESTON CLOSE, WICKLOW, WICKLOW","Wicklow","","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2018","9 PRIORY COURT, EDEN GATE, DELGANY","Wicklow","","€262,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2018","BROOKFIELD CLONE, AUGHRIM, WICKLOW","Wicklow","","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/01/2018","5 MOUNTAIN VIEW PARK, GREYSTONES, WICKLOW","Wicklow","","€545,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/01/2018","72 CHARLESLAND COURT, THE GLEN, GREYSTONES","Wicklow","","€304,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/01/2018","APT 6 SILVERDALE, KING EDWARD RD, BRAY","Wicklow","","€295,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/01/2018","GRANGECON HILL, GRANGECON, WICKLOW","Wicklow","","€335,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/01/2018","ROCKVIEW, MACREDDIN, AUGHRIM","Wicklow","","€53,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/01/2018","ROWAN LODGE, DIAMOND HILL, ROUNDWOOD","Wicklow","","€455,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/01/2018","The Haven, 8A Fr Colohan Terrace, Bray","Wicklow","","€374,449.33","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"19/01/2018","THE HAVEN, BALLINRUSH ESTATE, ROUNDWOOD","Wicklow","","€259,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"22/01/2018","3 FATIMA TERRACE, BRAY, WICKLOW","Wicklow","","€360,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"22/01/2018","3 GLEN HILTON, HERBERT RD, BRAY","Wicklow","","€270,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"22/01/2018","40 LOWER MAIN ST, ARKLOW, CO WICKLOW","Wicklow","","€92,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"22/01/2018","AMBLESIDE, BLACKLION, GREYSTONES","Wicklow","","€694,325.00","No","No","Second-Hand Dwelling house /Apartment",""
"22/01/2018","BRAMBLE BANK, PRIORY RD, DELGANY","Wicklow","","€485,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"23/01/2018","33 ASHTON WOOD, HERBERT RD, BRAY","Wicklow","","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"24/01/2018","11 Abbey Hill, The Friary, Keatingstown","Wicklow","","€253,683.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"24/01/2018","11 Barley Field  Wicklow Hills, Newtownmountkennedy","Wicklow","","€233,480.00","No","Yes","New Dwelling house /Apartment","less than 38 sq metres"
"24/01/2018","130 HERBERT PARK, BRAY, WICKLOW","Wicklow","","€325,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"24/01/2018","14 DRUIDS COURT, DRUIDS GLEN, NEWTOWNMOUNTKENNEDY","Wicklow","","€260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"25/01/2018","13 WOODLEIGH AVE, BLESSINGTON, WICKLOW","Wicklow","","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"25/01/2018","21 AUGHRIM HOLIDAY VILLAGE, AUGHRIM, HOLIDAY VILLAGE","Wicklow","","€168,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"25/01/2018","49 SANS SOUCI WOOD, VEVAY RD, BRAY","Wicklow","","€470,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"25/01/2018","5 Monalin, Wicklow Hills, NEWTOWNMOUNTKENNEDY","Wicklow","","€215,858.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"25/01/2018","7 MARINE VIEW, THE MURROUGH, WICKLOW TOWN","Wicklow","","€285,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"26/01/2018","160 KNOCKMORE, WEXFORD RD, ARKLOW","Wicklow","","€259,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"26/01/2018","192 KILLARNEY PARK, HERBERT RD, BRAY","Wicklow","","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"26/01/2018","3 MONKTON ROW, SUMMERHILL, WICKLOW TOWN","Wicklow","","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"26/01/2018","30 SWANBROOK, SOUTHERN CROSS, BRAY","Wicklow","","€28,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"26/01/2018","5 WILLOW AVENUE, CARNEW CO WICKLOW","Wicklow","","€78,300.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"26/01/2018","COYNES CROSS, KILMARTIN, ASHFORD","Wicklow","","€467,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"29/01/2018","15 Burkeen Hall, Friars Hill, Wicklow Town","Wicklow","","€282,026.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"29/01/2018","23 FRIAR HILL, SPARROW RD, DUNLAVIN","Wicklow","","€280,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"29/01/2018","3 WORSBORO TERRACE, ARKLOW, WICKLOW","Wicklow","","€97,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"29/01/2018","58 THE MALTINGS, BRAY, WICKLOW","Wicklow","","€260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"29/01/2018","6 Abbey Way, The Friary, Keatingstown","Wicklow","","€436,123.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 125 sq metres"
"29/01/2018","64  The Meadows, Marlton Road, Wicklow","Wicklow","","€279,295.14","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"29/01/2018","8 BURNABY COURT, GREYSTONES, WICKLOW","Wicklow","","€100,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"30/01/2018","22 The Rise, Meadowvale, Arklow","Wicklow","","€193,832.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 125 sq metres"
"30/01/2018","6 GLEBEMOUNT, WICKLOW, WICKLOW","Wicklow","","€165,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"30/01/2018","98 Barley Field  Wicklow Hills, Newtownmountkennedy","Wicklow","","€233,480.00","No","Yes","New Dwelling house /Apartment","less than 38 sq metres"
"30/01/2018","OATLANDS, GLENEALY, WICKLOW","Wicklow","","€455,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"30/01/2018","THE MEWS, REAR BEECHVIEW COURT, BURNABY ROAD GREYSTONES","Wicklow","","€171,500.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"30/01/2018","WOODVIEW COTTAGE, BALLYGUILE BEG, WICKLOW","Wicklow","","€290,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"31/01/2018","1 OLD CONNA MANOR, OLD CONNAUGHT AVENUE, BRAY","Wicklow","","€575,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"31/01/2018","100 Barley Field, Wicklow Hills, Newtownmountkennedy","Wicklow","","€202,643.17","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"31/01/2018","153 RICHMOND PARK, BRAY, WICKLOW","Wicklow","","€330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"31/01/2018","17  LYNDHURST, HERBERT ROAD, BRAY","Wicklow","","€165,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"31/01/2018","71 THE WAVERING, BLAINROE, CO WICKLOW","Wicklow","","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2018","2 BRITTAS BAY VILLAGE, BRITTAS BAY, CO WICKLOW","Wicklow","","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2018","5 KILADREENAN CLOSE, NEWTOWNMOUNTKENNEDY, WICKLOW","Wicklow","","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2018","APT 4 SOUTHPOINT, BRAY, CO. WICKLOW","Wicklow","","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2018","DRUMMIN, CLONEGAL, COUNTY WICKLOW","Wicklow","","€66,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2018","WHITEWELL, BALLINGATE, CARNEW","Wicklow","","€288,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/02/2018","101 Barleyfield  Wicklow Hills, Newtownmountkennedy, County Wicklow","Wicklow","","€233,480.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/02/2018","11 ARAVON COURT, MEATH RD, BRAY","Wicklow","","€412,600.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/02/2018","16 CHURCH VIEW, EDEN GATE, DELGANY","Wicklow","","€510,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/02/2018","163 CHARLESLAND PARK, GREYSTONES, WICKLOW","Wicklow","","€277,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/02/2018","18 SUMMER HILL, WICKLOW, WICKLOW","Wicklow","","€295,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/02/2018","19 Waverly, Blacklion, Greystones","Wicklow","","€414,096.92","No","Yes","New Dwelling house /Apartment","greater than or equal to 125 sq metres"
"02/02/2018","23 The Rise, MEADOWVALE, ARKLOW","Wicklow","","€193,832.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 125 sq metres"
"02/02/2018","31 HAYWOOD, BLESSINGTON, WICKLOW","Wicklow","","€301,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/02/2018","42 Thorndale, Delgany","Wicklow","","€562,185.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 125 sq metres"
"02/02/2018","61 The Meadows, Marlton Road, Wicklow Town","Wicklow","","€333,039.64","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/02/2018","67 Barley Field, Wicklow Hills, NewtownmountKennedy","Wicklow","","€242,291.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/02/2018","CLIFF HOUSE, THE HARBOUR, GREYSTONES","Wicklow","","€722,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/02/2018","SHROUGHMORE, AVOCA, CO. WICKLOW","Wicklow","","€146,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/02/2018","WENDON HOUSE, CHURCH RD, DELGANY","Wicklow","","€610,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2018","11 Seagreen Drive, Chapel Road, Blacklion","Wicklow","","€378,855.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"05/02/2018","34 WESTPARK, BLESSINGTON, WICKLOW","Wicklow","","€231,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/02/2018","CASUARINA, 1 MANOR AVE, GREYSTONES","Wicklow","","€955,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2018","68 The Meadows, Marlton Road, Wicklow","Wicklow","","€249,162.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 125 sq metres"
"06/02/2018","BALLYCONNELL, TULLOW, CARLOW","Wicklow","","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2018","CRONEYHORN, CARNEW, WICKLOW","Wicklow","","€87,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2018","20 Glenheron Walk, Glenheron, Greystones","Wicklow","","€356,827.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"07/02/2018","47 SEAVIEW, KILCOOLE, WICKLOW","Wicklow","","€135,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2018","51 MOUNTAINVIEW DR, BRAY, WICKLOW","Wicklow","","€250,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"07/02/2018","9 ST BRIDES RD, SUMMER HILL, WICKLOW","Wicklow","","€165,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/02/2018","6 PARK TERRACE, FERRYBANK, ARKLOW","Wicklow","","€173,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/02/2018","64 SEAVIEW, KILCOOLE, WICKLOW","Wicklow","","€397,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/02/2018","68 Barley Field, Wicklow Hills, Newtownmountkennedy","Wicklow","","€246,696.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"08/02/2018","99 Barley Field, Wicklow Hills, Newtownmountkennedy","Wicklow","","€202,642.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"08/02/2018","BALLYDONNELL, REDCROSS COUNTY WICKLOW","Wicklow","","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/02/2018","3 ARDEE ST, BRAY, CO WICKLOW","Wicklow","","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/02/2018","DOCTORS SURGERY, MAIN ST, BALTINGLASS","Wicklow","","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/02/2018","GLENHILL HOUSE, GROVE MEADOW, BALLINAHINCH","Wicklow","","€730,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/02/2018","TIGRONEY, AVOCA, ARKLOW","Wicklow","","€185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2018","11 BALLINAHINCH PARK, ASHFORD CO WICKLOW","Wicklow","","€102,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"12/02/2018","34B SEASON PARK, NEWTOWNMOUNTKENNEDY, CO. WICKLOW","Wicklow","","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
