Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"02/01/2019","35 THE COURT, DUNBOYNE CASTLE, DUNBOYNE","Meath","","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","1  churchfield Mews, Ashbourne, County Meath","Meath","","€299,560.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2019","14 The Dale, Broadmeadow Vale, Ratoath","Meath","","€299,559.47","No","Yes","New Dwelling house /Apartment",""
"03/01/2019","26 HILLVIEW, NAVAN, CO MEATH","Meath","","€207,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","27 mill gate, millerstown, maynooth road","Meath","","€286,343.62","No","Yes","New Dwelling house /Apartment",""
"03/01/2019","53 KNIGHTSBROOK CRESCENT, DUBLIN ROAD, TRIM","Meath","","€268,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","55 Cluain Adain Green, Clonmagadden, Navan","Meath","","€255,506.61","No","Yes","New Dwelling house /Apartment",""
"03/01/2019","7 The Dale, Broadmeadow Vale, Ratoath","Meath","","€273,127.75","No","Yes","New Dwelling house /Apartment",""
"03/01/2019","DULANE, KELLS, MEATH","Meath","","€61,333.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","4 The Dale, Broadmeadow Vale, Ratoath","Meath","","€281,938.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2019","46 JAMESTOWN PARK, RATOATH, MEATH","Meath","","€460,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","FAGANSTOWN, SLANE, COUNTY MEATH","Meath","","€120,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","14 THE COURTYARD, MAELDUIN, DUNSHAUGHLIN","Meath","","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","20 MILLGATE, MILLERSTOWN, KILCOCK","Meath","","€375,000.00","No","Yes","New Dwelling house /Apartment",""
"07/01/2019","25 Eastham Square, Eastham Road, Bettystown","Meath","","€286,343.61","No","Yes","New Dwelling house /Apartment",""
"07/01/2019","28 Dun Eimear, Castlemartin Road, Bettystown","Meath","","€263,420.00","No","Yes","New Dwelling house /Apartment",""
"07/01/2019","35 The Meadows, Whitefield Manor, Bettystown","Meath","","€349,559.47","No","Yes","New Dwelling house /Apartment",""
"07/01/2019","4 KYRIE COURT, MAIN ST CLONEE, CLONEE","Meath","","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","79 ATHLUMNEY CASTLE, NAVAN, MEATH","Meath","","€292,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","AN TEACH CURRAGHABRACK, LOUGHEGA, MULLINGAR","Meath","","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","BALREASK, CARLANSTOWN, KELLS","Meath","","€155,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2019","40 THE BELFRY, NAVAN RD, DULEEK","Meath","","€258,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2019","44 THE BOULEVARD, GRANGE RATH, DROGHEDA","Meath","","€445,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","63 ATHLUMNEY CASTLE, NAVAN, MEATH","Meath","","€253,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","DROMONE, OLDCASTLE, MEATH","Meath","","€120,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","2 GRACEMEADOW DALE, STAMULLEN, MEATH","Meath","","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
