Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"04/01/2022","22 Moyglare Grove, Mariavilla, Maynooth","Kildare","","€405,287.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2022","4 The Way, Barnhall Meadows, Leixlip","Kildare","","€383,259.91","No","Yes","New Dwelling house /Apartment",""
"04/01/2022","5 STRAFFAN GATE, STRAFFAN, KILDARE","Kildare","W23DP73","€186,974.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2022","53 Oldtown Woods, Celbridge, County Kildare","Kildare","","€365,638.00","No","Yes","New Dwelling house /Apartment",""
"05/01/2022","23 ROSEBERRY HILL, NEWBRIDGE, KILDARE","Kildare","W12X236","€213,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","33 KNIGHTS WOOD, JOHNSTOWN, NAAS","Kildare","","€295,000.00","No","Yes","New Dwelling house /Apartment",""
"05/01/2022","DUNMURRAY HALL, DUNMURRAY EAST, KILDARE","Kildare","R51YD26","€1,700,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","OVIDSTOWN, STRAFFAN, KILDARE","Kildare","W23F207","€360,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2022","145 TEMPLE MILLS, RATHANGAN","Kildare","","€205,691.06","No","Yes","New Dwelling house /Apartment",""
"06/01/2022","7 THE VILLAGE, ALLEN, KILMEAGUE","Kildare","W91T6KK","€528,061.67","No","Yes","New Dwelling house /Apartment",""
"06/01/2022","GLENMORE, BALLYMORE EUSTACE, CO KILDARE","Kildare","W91HD50","€770,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2022","'ST.MARTIN'S, MELITTA ROAD, KILDARE TOWN","Kildare","","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2022","10 DARA COURT, CELBRIDGE, KILDARE","Kildare","W23VY97","€340,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2022","111 CONEYMEADOWS, CONEYBORO, ATHY","Kildare","R14CX26","€152,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2022","13 GALLOWS HILL, KILDARE RD, ATHY","Kildare","R14WD66","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2022","145 GRIFFIN RATH HALL, MAYNOOTH, KILDARE","Kildare","W23X8F1","€410,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2022","24 Whitethorn Lawn, Whitethorn Village, Naas","Kildare","","€314,977.97","No","Yes","New Dwelling house /Apartment",""
"07/01/2022","63 THE ORCHARD, OLDTOWN MILL, CELBRIDGE","Kildare","W23HK82","€260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2022","ASHFIELD, BALLINRAHIN, RATHANGAN","Kildare","R51KT99","€580,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2022","THE GLEBE LANE, NEWTOWN, RATHANGAN","Kildare","R51FH87","€465,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2022","18 The Crescent, Mullen Park, Maynooth","Kildare","","€374,449.33","No","Yes","New Dwelling house /Apartment",""
"10/01/2022","18 The Green, Bellingsfield, Naas","Kildare","","€467,474.00","No","Yes","New Dwelling house /Apartment",""
"10/01/2022","2 The View, Ledwwill Park, Kilcock","Kildare","","€339,207.04","No","Yes","New Dwelling house /Apartment",""
"10/01/2022","21 Whitethorn Avenue, Whitethorn Village, Naas","Kildare","","€325,991.00","No","Yes","New Dwelling house /Apartment",""
"10/01/2022","26 The Drive, Ledwill Park, Kilcock","Kildare","","€453,744.49","No","Yes","New Dwelling house /Apartment",""
"10/01/2022","43 THE GABLES, KILL, KILDARE","Kildare","W91X4D6","€436,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2022","51 The Court, Ledwill Park, Kilcock","Kildare","","€330,396.48","No","Yes","New Dwelling house /Apartment",""
"10/01/2022","7 THE GLEN, OLDTOWN MILL, CELBRIDGE","Kildare","W23V1F7","€361,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2022","GRANGECLARE, KILMEAGUE, NAAS","Kildare","W91T9CY","€120,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2022","1082 AVONDALE, LEIXLIP, KILDARE","Kildare","W23E3C8","€325,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2022","13 Whitethorn Court, Whitethorn Village, Naas","Kildare","","€389,250.00","No","Yes","New Dwelling house /Apartment",""
"11/01/2022","DOWDENSTOWN, BALLYMORE EUSTACE, NASS","Kildare","W91Y8CK","€435,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2022","WAYSIDE, GERALDINE RD, ATHY","Kildare","R14T224","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2022","14 The Orchard, Sallins Road","Kildare","","€371,806.00","No","Yes","New Dwelling house /Apartment",""
"12/01/2022","141 OLDBRIDGE, OSBERSTOWN, KILDARE","Kildare","W91DPX6","€360,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2022","8 Whitethorn Close, Whitethorn, Naas","Kildare","","€321,585.00","No","Yes","New Dwelling house /Apartment",""
"12/01/2022","93 ROSEBERRY HILL, NEWBRIDGE, KILDARE","Kildare","W12Y732","€303,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2022","COTTAGE, OUGHTERARD, SALLINS","Kildare","","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/01/2022","33 The Lawn, Mullen Park, Maynooth","Kildare","","€418,502.00","No","Yes","New Dwelling house /Apartment",""
"13/01/2022","BALKINSTOWN, NURNEY, CO KILDARE","Kildare","","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"14/01/2022","126 Station Walk, Rickardstown, Newbridge","Kildare","","€299,559.46","No","Yes","New Dwelling house /Apartment",""
"14/01/2022","1278 HIGHFIELD PARK, KILCOCK, KILDARE","Kildare","W23PP79","€383,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"14/01/2022","16 MAPLE LAWNS, OLDTOWN DEMESNE, NAAS","Kildare","W91C2XD","€355,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"14/01/2022","2 WATERCRESS MANOR, NEWBRIDGE, KILDARE","Kildare","W12YA31","€245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
