Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"04/01/2022","3 NEW BRIGHTON TERRACE, PARNELL RD, BRAY","Wicklow","A98XE98","€835,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2022","8 ARCHERS WOOD DRIVE, DELGANY","Wicklow","","€440,528.63","No","Yes","New Dwelling house /Apartment",""
"05/01/2022","32 THE BENTLEY, KILCOOLE, WICKLOW","Wicklow","A63N672","€425,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","4 GARDEN VILLAGE AVE, KILPEDDAR, WICKLOW","Wicklow","A63C951","€355,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2022","102 ROSE HILL, BALLYNERRIN, WICKLOW","Wicklow","A67FX00","€336,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2022","7 THE GLEN, BLESSINGTON ABBEY, BLESSINGTON","Wicklow","W91K291","€460,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2022","95 WAVERLEY DRIVE, MERRYMEETING, RATHNEW","Wicklow","","€312,075.00","Yes","Yes","New Dwelling house /Apartment",""
"10/01/2022","132 CHARLESLAND PARK, GREYSTONES, COUNTY WICKLOW","Wicklow","A63X237","€256,587.39","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2022","46 Seagreen Park, Blacklion, Greystones","Wicklow","","€515,418.00","No","Yes","New Dwelling house /Apartment",""
"10/01/2022","7 STONEHAVEN, BALLINACOR WEST, BARNDARRG","Wicklow","A67XY10","€395,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2022","LAKEVIEW HOUSE, LACKEN, BLESSINGTON","Wicklow","W91HX96","€735,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2022","12 MONKTON ROW, WICKLOW, WICKLOW","Wicklow","A67ET73","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2022","12 THE PARK, BLESSINGTON ABBEY, BLESSINGTON","Wicklow","W91NX60","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2022","77 WAVERLEY DRIVE, MERRYMEETING, RATHNEW","Wicklow","","€295,154.00","No","Yes","New Dwelling house /Apartment",""
"11/01/2022","9 WOODSTOCK, KILCOOLE, WICKLOW","Wicklow","A63KD50","€510,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2022","EVERGREEN, COOLMORE, ARKLOW","Wicklow","Y14E520","€478,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2022","MONTEZUMA, 1 MONKTON ROW, WICKLOW TOWN","Wicklow","A67K821","€420,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2022","10 OLDCOURT AVENUE, BRAY, CO WICKLOW","Wicklow","A98DH29","€135,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"12/01/2022","116 HEATHERVUE, GREYSTONES, WICKLOW","Wicklow","A63NY06","€595,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2022","20 Archers Wood Drive, Archers Wood Drive, Delgany","Wicklow","","€510,000.00","No","Yes","New Dwelling house /Apartment",""
"12/01/2022","21 LA TOUCHE PARK, GREYSTONES, WICKLOW","Wicklow","A63R792","€695,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2022","22DUBLINROAD, BRAY, WICKLOW","Wicklow","A98X9YK","€137,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2022","23DUBLINROAD, BRAY, WICKLOW","Wicklow","A98NX06","€137,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2022","3 THE RED GAP, BARNDARRIG, KILBRIDE","Wicklow","A67DC53","€510,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/01/2022","1 SUNSET, NEW RD, GREYSTONES","Wicklow","A63WK00","€972,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/01/2022","19 GLENBROOK HALL, NEWTOWN, MOUNT KENNEDY","Wicklow","A63FY20","€295,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/01/2022","27 HOLYWELL AVE, SEA RD, KILCOOLE","Wicklow","A63X625","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/01/2022","4 WILTON MANOR, RATHNEW, CO WICKLOW","Wicklow","A67CC98","€365,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/01/2022","80 BLACKLION MANOR, GREYSTONES, WICKLOW","Wicklow","A63V382","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/01/2022","GREEN ACRES, 48 THE BRIARY, BLAINROE","Wicklow","A67T992","€320,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/01/2022","LINDEN LODGE, KILLINCARRIG, GREYSTONES","Wicklow","A63F720","€985,000.00","No","No","Second-Hand Dwelling house /Apartment",""
