Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"01/01/2022","8 CHANDLERS GUILD, JAMESS ST, DUBLIN 8","Dublin","D08F7H6","€95,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2022","11 THE COURTYARD, HILL ST, DUBLIN 1","Dublin","D01YP78","€325,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2022","12 CASTLECURRAGH VALE, BLANCHARDSTOWN, DUBLIN 15","Dublin","D15K8W9","€262,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2022","184 BACHELORS WALK APTS, BACHELORS WALK, DUBLIN 1","Dublin","D01EK03","€240,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2022","19 MONTPELIER VIEW, JOBSTOWN, TALLAGHT DUBLIN 24","Dublin","D24W1K2","€85,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2022","2 Cassans Way, Station Road, Lusk","Dublin","","€361,233.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2022","2 MULVEY PARK, DUNDRUM, DUBLIN 14","Dublin","D14V384","€560,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2022","34 KEMPTON WAY, NAVAN RD, DUBLIN 7","Dublin","D07X2V8","€300,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2022","56 WEST RD, EAST WALL, DUBLIN 3","Dublin","D03RK27","€400,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2022","6 CORNERPARK GREEN, PEAMOUNT ROAD, NEWCASTLE","Dublin","D22E1R8","€312,775.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2022","7 STRALEM COURT, ONGAR PARK, DUBLIN 15","Dublin","D15ED79","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2022","CORNARONE, INVERIN, CONNEMARA","Dublin","H91F65E","€530,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","108 BROADMEADOWS, SWORDS, DUBLIN","Dublin","K67X0V8","€387,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","124 BURNELL COURT, DUBLIN 13","Dublin","D17AF84","€271,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","13 Graydon Crescent, Graydon, Newcastle","Dublin","","€286,343.00","No","Yes","New Dwelling house /Apartment",""
"05/01/2022","13 Skylark Park Gate, St Marnocks Park, Station Road","Dublin","","€436,123.00","No","Yes","New Dwelling house /Apartment",""
"05/01/2022","160 OXMANTOWN RD, DUBLIN 7, DUBLIN","Dublin","D07C5X5","€388,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","20 OLDCOURT AVE, FERNCOURT, TALLAGHT DUBLIN 24","Dublin","D24E3X8","€396,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","202 RICHMOND COURT, RICHMOND AVE SOUTH, DARTRY DUBLIN 6","Dublin","D06PK28","€470,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","227 TRIMBLESTON, GOATSTOWN ROAD, DUBLIN 14","Dublin","D14T6C3","€792,951.54","No","Yes","New Dwelling house /Apartment",""
"05/01/2022","30 LANDYS COURT, HARBOUR MILL, BALBRIGGAN","Dublin","K32RK49","€170,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","35 MELVILLE PARK, FINGLAS CITYSIDE, DUBLIN 11","Dublin","D11TK40","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","38 THE ATRIUM, THE STEELWORKS, FOLEY ST DUBLIN 1","Dublin","D01AH66","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","42 WOODBINE PARK, RAHENY, DUBLIN 5","Dublin","D05CA43","€553,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","5 WILLANS AVENUE, ONGAR GREEN, DUBLIN 15","Dublin","D15K18V","€245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","51 STILES RD, CLONTARF, DUBLIN 3","Dublin","D03Y0E3","€1,030,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","6 MOYLARAGH LODGE, BALBRIGGAN, DUBLIN","Dublin","K32K582","€178,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","6 STRADBROOK RD, BLACKROCK, DUBLIN","Dublin","A94V5W6","€900,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","62 GROSVENOR COURT, CLONTARF, DUBLIN 3","Dublin","D03T9X6","€637,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","7 TEMPLE HALL, PARNELL ST, DUBLIN 1","Dublin","D01YP82","€285,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","8 BEAUMONT RD, WHITEHALL, DUBLIN 9","Dublin","D09TK85","€380,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","91 NEPHIN RD, NAVAN RD, DUBLIN 7","Dublin","D07Y3C3","€515,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","APT 10 SANTRY WAY, BALLYMUN, DUBLIN 9","Dublin","","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","APT 47 MERRION COURT, BALLSBRIDGE, DUBLIN 4","Dublin","D04H294","€670,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2022","CASTLEDOWNS, BACK RD, MALAHIDE","Dublin","K36H520","€1,750,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2022","10 Paul Square, Adelaide Road, Glenageary","Dublin","","€1,096,916.00","No","Yes","New Dwelling house /Apartment",""
"06/01/2022","11 ST LAWRENCE BUILDING, FINDLATER, HOWTH","Dublin","D13HY46","€472,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2022","112 GRANITEFIELD, ROCHESTOWN AVE, DUN LAOGHAIRE","Dublin","A96CX39","€550,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2022","14 RUSSELL AVE, DRUMCONDRA, DUBLIN 3","Dublin","D03F6C5","€345,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2022","17 MONTPELIER MEWS, MONTPELIER HILL, DUBLIN 7","Dublin","","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2022","17 Somerton Drive, Somerton, Newcastle Road","Dublin","","€330,396.47","No","Yes","New Dwelling house /Apartment",""
"06/01/2022","18 THE SPINNAKER, ALVERNO, CASTLE AVE DUBLIN 3","Dublin","D03X924","€320,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2022","196 CASTLECURRAGH VALE, MULHUDDART, DUBLIN 15","Dublin","D15H3A8","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2022","20 ST MARKS GROVE, CLONDALKIN, DUBLIN 22","Dublin","D22P8H7","€240,000.00","No","No","Second-Hand Dwelling house /Apartment",""
